leto,država,bdp
2011,Serbia,14064
2011,Russia,206495
2011,Sweden,192863
2011,Slovenia,12130
2011,Slovakia,13003
2011,San Marino,745
2011,Turkey,108862
2011,Ukraine,26403
2012,United Kingdom,960428
2012,Germany,1859310
2012,France,1175737
2012,Spain,425089
2012,Italy,891770
2012,Portugal,82359
2012,Greece,83020
2012,Ireland,48166
2012,Andorra,1013
2012,Albania,1910
2012,Armenia,524
2012,Austria,169945
2012,Australia,285296
2012,Azerbaijan,1827
2012,Bosnia & Herzegovina,1016
2012,Belgium,198401
2012,Bulgaria,8162
2012,Belarus,12260
2012,Switzerland,246872
2012,Cyprus,6712
2012,Czech Republic,38750
2012,Denmark,131678
2012,Estonia,2037
2012,Finland,87157
2012,Georgia,669
2012,Croatia,12402
2012,Hungary,34910
2012,Israel,68279
2012,Iceland,5298
2012,Lithuania,3572
2012,Latvia,3407
2012,Monaco,2263
2012,Moldova,1124
2012,Montenegro,702
2012,Macedonia,2881
2012,Malta,2730
2012,The Netherlands,296155
2012,Norway,107144
2012,Poland,83900
2012,Romania,25246
2012,Serbia,16385
2012,Russia,240564
2012,Sweden,192863
2012,Slovenia,12130
2012,Slovakia,13003
2012,San Marino,745
2012,Turkey,108862
2012,Ukraine,30759
2013,United Kingdom,960428
2013,Germany,1859310
2013,France,1175737
2013,Spain,425089
2013,Italy,891770
2013,Portugal,82359
2013,Greece,83020
2013,Ireland,48166
2013,Andorra,1013
2013,Albania,1816
2013,Armenia,498
2013,Austria,169945
2013,Australia,271229
2013,Azerbaijan,1737
2013,Bosnia & Herzegovina,966
2013,Belgium,198401
2013,Bulgaria,8162
2013,Belarus,11656
2013,Switzerland,246872
2013,Cyprus,6712
2013,Czech Republic,38750
2013,Denmark,131678
2013,Estonia,2037
2013,Finland,87157
2013,Georgia,636
2013,Croatia,12402
2013,Hungary,34910
2013,Israel,64912
2013,Iceland,5298
2013,Lithuania,3572
2013,Latvia,3407
2013,Monaco,2263
2013,Moldova,1069
2013,Montenegro,702
2013,Macedonia,2739
2013,Malta,2730
2013,The Netherlands,296155
2013,Norway,107144
2013,Poland,79763
2013,Romania,25246
2013,Serbia,15577
2013,Russia,228702
2013,Sweden,192863
2013,Slovenia,12130
2013,Slovakia,13003
2013,San Marino,745
2013,Turkey,108862
2013,Ukraine,29242
2014,United Kingdom,960428
2014,Germany,1859310
2014,France,1175737
2014,Spain,425089
2014,Italy,891770
2014,Portugal,82359
2014,Greece,83020
2014,Ireland,48166
2014,Andorra,1013
2014,Albania,1732
2014,Armenia,475
2014,Austria,169945
2014,Australia,258677
2014,Azerbaijan,1656
2014,Bosnia & Herzegovina,921
2014,Belgium,198401
2014,Bulgaria,8162
2014,Belarus,11117
2014,Switzerland,246872
2014,Cyprus,6712
2014,Czech Republic,38750
2014,Denmark,131678
2014,Estonia,2037
2014,Finland,87157
2014,Georgia,606
2014,Croatia,12402
2014,Hungary,34910
2014,Israel,61908
2014,Iceland,5298
2014,Lithuania,3572
2014,Latvia,3407
2014,Monaco,2263
2014,Moldova,1019
2014,Montenegro,702
2014,Macedonia,2612
2014,Malta,2730
2014,The Netherlands,296155
2014,Norway,107144
2014,Poland,76072
2014,Romania,25246
2014,Serbia,14856
2014,Russia,218119
2014,Sweden,192863
2014,Slovenia,12130
2014,Slovakia,13003
2014,San Marino,745
2014,Turkey,108862
2014,Ukraine,27889
2015,United Kingdom,960428
2015,Germany,1859310
2015,France,1175737
2015,Spain,425089
2015,Italy,891770
2015,Portugal,82359
2015,Greece,83020
2015,Ireland,48166
2015,Andorra,1013
2015,Albania,2148
2015,Armenia,589
2015,Austria,169945
2015,Australia,320870
2015,Azerbaijan,2055
2015,Bosnia & Herzegovina,1143
2015,Belgium,198401
2015,Bulgaria,8162
2015,Belarus,13789
2015,Switzerland,246872
2015,Cyprus,6712
2015,Czech Republic,38750
2015,Denmark,131678
2015,Estonia,2037
2015,Finland,87157
2015,Georgia,752
2015,Croatia,12402
2015,Hungary,34910
2015,Israel,76793
2015,Iceland,5298
2015,Lithuania,3572
2015,Latvia,3407
2015,Monaco,2263
2015,Moldova,1265
2015,Montenegro,702
2015,Macedonia,3240
2015,Malta,2730
2015,The Netherlands,296155
2015,Norway,107144
2015,Poland,94361
2015,Romania,25246
2015,Serbia,18428
2015,Russia,270560
2015,Sweden,192863
2015,Slovenia,12130
2015,Slovakia,13003
2015,San Marino,745
2015,Turkey,108862
2015,Ukraine,34594
2016,United Kingdom,960428
2016,Germany,1859310
2016,France,1175737
2016,Spain,425089
2016,Italy,891770
2016,Portugal,82359
2016,Greece,83020
2016,Ireland,48166
2016,Andorra,1013
2016,Albania,2120
2016,Armenia,582
2016,Austria,169945
2016,Australia,316710
2016,Azerbaijan,2028
2016,Bosnia & Herzegovina,1128
2016,Belgium,198401
2016,Bulgaria,8162
2016,Belarus,13611
2016,Switzerland,246872
2016,Cyprus,6712
2016,Czech Republic,38750
2016,Denmark,131678
2016,Estonia,2037
2016,Finland,87157
2016,Georgia,742
2016,Croatia,12402
2016,Hungary,34910
2016,Israel,75797
2016,Iceland,5298
2016,Lithuania,3572
2016,Latvia,3407
2016,Monaco,2263
2016,Moldova,1248
2016,Montenegro,702
2016,Macedonia,3198
2016,Malta,2730
2016,The Netherlands,296155
2016,Norway,107144
2016,Poland,93138
2016,Romania,25246
2016,Serbia,18189
2016,Russia,267052
2016,Sweden,192863
2016,Slovenia,12130
2016,Slovakia,13003
2016,San Marino,745
2016,Turkey,108862
2016,Ukraine,34146
2017,United Kingdom,960428
2017,Germany,1859310
2017,France,1175737
2017,Spain,425089
2017,Italy,891770
2017,Portugal,82359
2017,Greece,83020
2017,Ireland,48166
2017,Andorra,1013
2017,Albania,2099
2017,Armenia,576
2017,Austria,169945
2017,Australia,313572
2017,Azerbaijan,2008
2017,Bosnia & Herzegovina,1117
2017,Belgium,198401
2017,Bulgaria,8162
2017,Belarus,13476
2017,Switzerland,246872
2017,Cyprus,6712
2017,Czech Republic,38750
2017,Denmark,131678
2017,Estonia,2037
2017,Finland,87157
2017,Georgia,735
2017,Croatia,12402
2017,Hungary,34910
2017,Israel,75046
2017,Iceland,5298
2017,Lithuania,3572
2017,Latvia,3407
2017,Monaco,2263
2017,Moldova,1236
2017,Montenegro,702
2017,Macedonia,3167
2017,Malta,2730
2017,The Netherlands,296155
