"Date","Price","Open","High","Low","Change %"
"Sep 12","0.7779","0.7948","0.8001","0.7592","-2.14%"
"Aug 12","0.7949","0.8132","0.8242","0.7913","-2.20%"
"Jul 12","0.8128","0.7891","0.8306","0.7891","2.90%"
"Jun 12","0.7899","0.8091","0.8138","0.7844","-2.39%"
"May 12","0.8092","0.7550","0.8105","0.7528","7.15%"
"Apr 12","0.7552","0.7486","0.7696","0.7473","0.77%"
"Mar 12","0.7494","0.7505","0.7690","0.7470","-0.12%"
"Feb 12","0.7503","0.7644","0.7708","0.7415","-1.88%"
"Jan 12","0.7647","0.7728","0.7922","0.7558","-1.05%"
"Dec 11","0.7728","0.7441","0.7778","0.7380","3.87%"
"Nov 11","0.7440","0.7216","0.7569","0.7209","3.10%"
"Oct 11","0.7216","0.7498","0.7607","0.7019","-3.40%"
"Sep 11","0.7470","0.6956","0.7484","0.6954","7.40%"
"Aug 11","0.6955","0.6965","0.7115","0.6873","0.13%"
"Jul 11","0.6946","0.6896","0.7227","0.6858","0.75%"
"Jun 11","0.6894","0.6946","0.7106","0.6804","-0.75%"
"May 11","0.6946","0.6744","0.7158","0.6693","2.83%"
"Apr 11","0.6755","0.7056","0.7113","0.6721","-4.29%"
"Mar 11","0.7058","0.7246","0.7278","0.7018","-2.59%"
"Feb 11","0.7246","0.7306","0.7448","0.7214","-0.81%"
"Jan 11","0.7305","0.7491","0.7768","0.7268","-2.26%"
"Dec 10","0.7474","0.7701","0.7711","0.7409","-2.99%"
"Nov 10","0.7704","0.7163","0.7713","0.7003","7.48%"
"Oct 10","0.7168","0.7338","0.7343","0.7064","-2.29%"
"Sep 10","0.7336","0.7883","0.7910","0.7308","-6.90%"
"Aug 10","0.7880","0.7656","0.7945","0.7499","2.82%"
"Jul 10","0.7664","0.8175","0.8203","0.7630","-6.23%"
"Jun 10","0.8173","0.8127","0.8420","0.8022","0.57%"
"May 10","0.8127","0.7498","0.8235","0.7495","8.07%"
"Apr 10","0.7520","0.7403","0.7626","0.7304","1.61%"
"Mar 10","0.7401","0.7338","0.7538","0.7237","0.84%"
"Feb 10","0.7339","0.7212","0.7439","0.7128","1.78%"
"Jan 10","0.7211","0.6980","0.7214","0.6858","3.24%"
"Dec 09","0.6985","0.6663","0.7035","0.6604","4.83%"
"Nov 09","0.6663","0.6797","0.6838","0.6603","-1.93%"
"Oct 09","0.6794","0.6833","0.6907","0.6641","-0.56%"
"Sep 09","0.6832","0.6978","0.7054","0.6736","-2.09%"
"Aug 09","0.6978","0.7008","0.7120","0.6921","-0.56%"
"Jul 09","0.7017","0.7127","0.7230","0.6990","-1.53%"
"Jun 09","0.7126","0.7079","0.7274","0.6974","0.85%"
"May 09","0.7066","0.7561","0.7571","0.7057","-6.53%"
"Apr 09","0.7560","0.7549","0.7761","0.7363","0.19%"
"Mar 09","0.7546","0.7920","0.8027","0.7278","-4.38%"
"Feb 09","0.7892","0.7830","0.7992","0.7637","0.83%"
"Jan 09","0.7827","0.7159","0.7834","0.7106","9.44%"
"Dec 08","0.7152","0.7866","0.7969","0.6794","-9.17%"
